,index,resource,response,response_lower,response_upper,count
0,0,1,0.880764069015371,0.8746332106678588,0.8868949273628831,3
1,1,2,0.9119188628636472,0.9098597913160946,0.9139779344111998,3
2,2,3,0.9238930313855317,0.9211499093434455,0.9266361534276178,3
3,3,4,0.9271025398781368,0.9266489045233366,0.9275561752329371,3
4,4,5,0.9288031782016196,0.9287272934257753,0.9288790629774639,3
5,5,6,0.9294561432484066,0.9294373092280878,0.9294749772687255,3
6,6,7,0.9296219331041149,0.9294036379424359,0.9298402282657939,3
7,7,8,0.9310213645497227,0.9310213645497227,0.9310213645497227,3
8,8,9,0.9320288497062381,0.9318088461101779,0.9322488533022983,3
9,9,10,0.9320774286550848,0.9320774286550848,0.9320774286550848,3
10,10,11,0.948921217542172,0.948921217542172,0.948921217542172,2
11,11,12,0.948921217542172,0.948921217542172,0.948921217542172,2
12,12,13,0.948921217542172,0.948921217542172,0.948921217542172,2
13,13,15,0.948921217542172,0.948921217542172,0.948921217542172,2
14,13,31,0.948921217542172,0.948921217542172,0.948921217542172,2
15,13,41,0.948921217542172,0.948921217542172,0.948921217542172,2
16,13,50,0.948921217542172,0.948921217542172,0.948921217542172,2
17,13,60,0.948921217542172,0.948921217542172,0.948921217542172,2
18,13,73,0.948921217542172,0.948921217542172,0.948921217542172,2
19,13,80,0.948921217542172,0.948921217542172,0.948921217542172,2
20,20,142,0.948921217542172,0.948921217542172,0.948921217542172,2
21,21,156,0.948921217542172,0.948921217542172,0.948921217542172,2
22,21,207,0.948921217542172,0.948921217542172,0.948921217542172,2
23,21,302,0.948921217542172,0.948921217542172,0.948921217542172,2
24,21,401,0.948921217542172,0.948921217542172,0.948921217542172,2
25,21,707,0.948921217542172,0.948921217542172,0.948921217542172,2
26,21,940,0.948921217542172,0.948921217542172,0.948921217542172,2
27,21,1033,0.948921217542172,0.948921217542172,0.948921217542172,2
28,28,1135,0.948921217542172,0.948921217542172,0.948921217542172,2
29,29,1248,0.948921217542172,0.948921217542172,0.948921217542172,2
30,30,1508,0.948921217542172,0.948921217542172,0.948921217542172,2
31,30,2003,0.948921217542172,0.948921217542172,0.948921217542172,2
32,30,5160,0.948921217542172,0.948921217542172,0.948921217542172,2
33,30,6235,0.948921217542172,0.948921217542172,0.948921217542172,2
34,30,8282,0.948921217542172,0.948921217542172,0.948921217542172,2
35,30,9104,0.948921217542172,0.948921217542172,0.948921217542172,2
36,30,10007,0.948921217542172,0.948921217542172,0.948921217542172,2
37,37,11001,0.948921217542172,0.948921217542172,0.948921217542172,2
38,38,12093,0.948921217542172,0.948921217542172,0.948921217542172,2
39,39,13293,0.948921217542172,0.948921217542172,0.948921217542172,2
40,40,14612,0.948921217542172,0.948921217542172,0.948921217542172,2
